"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"Language"                                                                                     "None"
"DailyTaskDescription_14"                                                                      "Kill creeps from 1 location"
"DailyTaskDescription_15"                                                                      "Kill creeps from location 2"
"DailyTaskDescription_16"                                                                      "Kill creeps from location 3"
"DailyTaskDescription_17"                                                                      "Kill creeps from location 4"
"DailyTaskDescription_18"                                                                      "Kill creeps from location 5"
"DailyTaskDescription_19"                                                                      "Kill creeps from location 6"
"DailyTaskDescription_20"                                                                      "Kill creeps from location 7"
"DailyTaskDescription_21"                                                                      "Kill creeps from location 8"
"DailyTaskDescription_22"                                                                      "Slay Dragons"
"DailyTaskDescription_23"                                                                      "Kill bosses in one game"
"DailyTaskDescription_24"                                                                      "Kill bosses in one game"
"DailyTaskDescription_25"                                                                      "Kill Roshan"
"DailyTaskDescription_26"                                                                      "Kill Baru"
"DailyTaskDescription_27"                                                                      "Kill Anti-Mage"
"DailyTaskDescription_28"                                                                      "Kill the Invoker"
"DailyTaskDescription_29"                                                                      "Play for more than 60 minutes"
"DailyTaskDescription_30"                                                                      "Collect level 8 items"
"DailyTaskDescription_31"                                                                      "Collect level 9 items"
"DailyTaskDescription_32"                                                                      "Collect level 10 items"
"DailyTaskDescription_33"                                                                      "Collect level 11 items"
"DailyTaskDescription_34"                                                                      "Upgrade an item in the forge"
"DailyTaskDescription_35"                                                                      "Turn into a pet"
"DailyTaskDescription_36"                                                                      "Kill the Sand King"
"DailyTaskDescription_37"                                                                      "Kill the Monkey King"
"DailyTaskDescription_38"                                                                      "Kill a Titan"
"DailyTaskDescription_39"                                                                      "Kill the Apparatus"
"DailyTaskDescription_40"                                                                      "Kill Crystal"
"DailyTaskDescription_41"                                                                      "Cut down trees"
"DailyTaskDescription_42"                                                                      "Complete the entire storyline of quests"
"DailyTaskDescription_43"                                                                      "Complete the entire mid-line quest"
"DailyTaskDescription_44"                                                                      "Withget midas level 8"
"DailyTaskDescription_45"                                                                      "Pick up a rune"
"DailyTaskDescription_46"                                                                      "Smash objects"
"DailyTaskDescription_47"                                                                      "Destroy the barracks"
"DailyTaskDescription_48"                                                                      "Destroy the tavern"
"DailyTaskDescription_49"                                                                      "Die"
"DailyTaskDescription_50"                                                                      "Use graffiti"
"DailyTaskDescription_51"                                                                      "Kill the Plague Squirrel"
"ForgeLifesteal"                                                                               "vampirism"
"SpellAmplify"                                                                                 "SpellAmplify"
"ForgeStats"                                                                                   "all attributes"
"ForgeBaseDamage"                                                                              "base damage"
"ForgeRegen"                                                                                   "regeneration"
"maptogglebutton_Label"                                                                        "TIPS"
"quest_multiplier_text"                                                                        "x##multiplier## ##games## games left"
"random_wave_notification"                                                                     "A rogue wave is approaching!"
"BattlePass_soul_name"                                                                         "one soul at the start of the game"
"BattlePass_soul_description"                                                                  "When you receive this reward, you will be able to choose one of the souls. The soul will be given to you at the beginning of the game. Duration <font color='#ff0066'><b>##days_count##</b></font> days"
"BattlePass_exp_boost_name"                                                                    "Talent XP Multiplier"
"BattlePass_exp_boost_description"                                                             "Increases experience gain for talents by <font color='#ff0066'><b>##display_value##</b></font>. The booster will last for <font color='#ff0066'> <b>##game_count##</b></font> games. If you use several boosters, their bonus is summed up."
"BattlePass_rp_boost_name"                                                                     "Shield Receipt Multiplier"
"BattlePass_rp_boost_description"                                                              "Increases shield gain by <font color='#ff0066'><b>##display_value##</b></font>. The boost will last for <font color='#ff0066'><b >##game_count##</b></font> games. If you use several boosters, their bonus is summed up."
"BattlePass_forge_gems_name"                                                                   "Forge Stones"
"BattlePass_forge_gems_description"                                                            "You will receive <font color='#ff0066'><b>##display_value##</b></font> all the gems to your account."
"BattlePass_exp_book_1_name"                                                                   "Talent Experience"
"BattlePass_exp_book_1_description"                                                            "Increases the current experience of your chosen hero by <font color='#ff0066'><b>##display_value##</b></font>."
"BattlePass_exp_book_2_name"                                                                   "Talent Experience"
"BattlePass_exp_book_2_description"                                                            "Increases the current gold branch experience of your chosen hero by <font color='#ff0066'><b>##display_value##</b></font>. You can choose the type of experience <font color='# ff0066'><b>##choice_count##</b></font> times."
"BattlePass_hero_access_name"                                                                  "Access to special heroes"
"BattlePass_hero_access_description"                                                           "When you receive this reward, you will be able to choose one of our special heroes locked in the pick. You will be able to play <font color='#ff0066'><b>##display_value##</b></font> games on the selected hero."
"BattlePass_treasury_name"                                                                     "Treasury"
"BattlePass_treasury_description"                                                              "When you receive this reward, you will be able to select <font color='#ff0066'><b>##display_value##</b></font> treasures. The treasure can be opened through the store."
"BattlePass_add_rp_name"                                                                       "Shields"
"BattlePass_add_rp_description"                                                                "You will receive <font color='#ff0066'><b>##display_value##</b></font> shields to your account."
"BattlePass_pet_name"                                                                          "pet"
"BattlePass_pet_description"                                                                   "You will be able to choose one of the pets for <font color='#ff0066'><b>##price##</b></font> crystals. The pet will be available at <font color='#ff0066' ><b>##display_value##</b></font> games."
"BattlePass_add_coins_name"                                                                    "crystals"
"BattlePass_add_coins_description"                                                             "You will receive <font color='#ff0066'><b>##display_value##</b></font> crystals to your account."
"BattlePass_item_scroll_name"                                                                  "Scrolls"
"BattlePass_item_scroll_description"                                                           "When you receive a reward, you will be able to select <font color='#ff0066'><b>##display_value##</b></font> scrolls. Scrolls are saved to your account and updated every game."
"BattlePass_effect_name"                                                                       "visual effects"
"BattlePass_effect_description"                                                                "You will receive a unique effect that is not available in the store."
"BattlePass_golden_branch_name"                                                                "golden talent branch"
"BattlePass_golden_branch_description"                                                         "You will have access to the golden branch for <font color='#ff0066'><b>##display_value##</b></font> days from the moment you accept the reward, on all heroes."
"BattlePass_forever_ward_name"                                                                 "eternal ward"
"BattlePass_forever_ward_description"                                                          "You will receive <font color='#ff0066'><b>##display_value##</b></font> a forever ward. This item will be updated every game."
"BattlePass_boss_summo_name"                                                                   "Boss Summon and Ticket"
"BattlePass_boss_summo_description"                                                            "You will be able to choose between <font color='#ff0066'><b>3</b></font> Boss Summon Books or <font color='#ff0066'><b>10</b>< /font> tickets. You will be able to make a choice <font color='#ff0066'><b>##choice_count##</b></font> times."
"BattlePass_ticket_name"                                                                       "ticket to enter the farming location"
"BattlePass_ticket_description"                                                                "You will receive <font color='#ff0066'><b>##display_value##</b></font> tickets to enter the farming location. This item will be updated every game."
"BattlePass_buff_name"                                                                         "Hero Buff"
"collect_all_rewards_button"                                                                   "Collect all"
"BattlePass_choice_count"                                                                      "make your choice <font color='#ff0066'><b>##count##</b></font> times"
"BattleBase_unavailable_reward_premium"                                                        "<font color='red'>This reward can only be obtained if you purchased access to the second level rewards in the store.</font>"
"BattlePass_tab_bp_name"                                                                       "Battle Pass"
"open_button_battle_pass"                                                                      "Battle Pass"
"BattlePass_tab_inventory_name"                                                                "Inventory"
"battle_pass_level"                                                                            "LEVEL"
"battle_pass_vote_button"                                                                      "vote"
"battle_pass_vote_label"                                                                       "vote for the next hero"
"battle_pass_task_1_description"                                                               "Kill <font color='red'><b>10000</b></font> creeps, reward 1000 experience"
"battle_pass_task_2_description"                                                               "Take part in killing <font color='red'><b>250</b></font> bosses, reward 1000 experience"
"BpTaskDescription_1"                                                                          "Kill any creeps"
"BpTaskDescription_2"                                                                          "Kill bosses"
"battle_pass_task_description"                                                                 "Tasks for leveling up the battle pass, updated <font color='red'>every week</font>"
"battle_pass_buy_experience"                                                                   "##value## experience for ##price##"
"battle_pass_buy_premium"                                                                      "Gold pass ##price##"
"battle_pass_buy_premium_tooltip"                                                              "Access to second level rewards and hero voting"
"bp_premium"                                                                                   "<font color='gold'>Gold Pass</font>"
"bp_experience"                                                                                "##count## experience"
"battle_pase_use_toggle_button"                                                                "active"
"quest_title_description"                                                                      "Daily quests, battle pass leveling quests, game quests"
"battle_pass_error_vote"                                                                       "Voting is only available to players with a gold pass"
"BattlePass_model_name"                                                                        "Replacement model"
"BattlePass_model_description"                                                                 "You will forever receive a custom model for your hero."
"battle_pass_mars_1"                                                                           "x2 duration of Ultimate damage stacks."
"battle_pass_shadow_shaman_1"                                                                  "-50% cd of chickens"
"battle_pass_slark_1"                                                                          "Dark Pact's damage to the hero is not enhanced by stuff."
"battle_pass_arc_warden_1"                                                                     "+5% spell damage boost per hero level."
"battle_pass_magnataur_1"                                                                      "Auto-cast Empower on a hero, + does not waste mana."
"battle_pass_pudge_1"                                                                          "Rot's pudge damage boost is 90% weaker."
"gems_image_pet"                                                                               "Crystals"
"rp_image_pet"                                                                                 "RP"
"feed_image_pet"                                                                               "Feed"
"pets_level_label"                                                                             "level ##count##"
"pets_tier_label"                                                                              "tier ##count##"
"pets_buy_confirm_itemname"                                                                    "buy ##item##?"
"pets_status_loading"                                                                          "Loading..."
"dota_pets_feed_error"                                                                         "Not enough feed"
"pets_tier_title"                                                                              "pets: tier ##number##"
"pets_trial_game_count"                                                                        "more ##count## games"
"pets_trial_end_date"                                                                          "available until ##date##"
"pets_buy_unavailible"                                                                         "unavailable"
"pets_buy_unavailible_tooltip"                                                                 "Can be obtained as a reward from a Battle Pass or Treasury."
"talent_level_label"                                                                           "Lv."
"talant_button_update"                                                                         "Improve"
"talents_cheat_mode_label"                                                                     "Cheat Mode"
"talents_cheat_drop_label"                                                                     "Drop talents"
"talents_unavailible_turbo"                                                                    "<br><font color='red'>Not available in Turbo mode</font>"
"talents_unavailible_normal"                                                                   "<br><font color='red'>Not available in Normal mode</font>"
"talents_open_button"                                                                          "Talents"
"talents_only_patron"                                                                          "<br><br><font color='red'>Works only with active subscription</font>"
"talant_normal_exp_label"                                                                      "Normal Experience"
"talant_game_cout_label"                                                                       "Number of games"
"talant_game_time_label"                                                                       "Game hours"
"talents_strategy_level_label"                                                                 "Level <font color='green'>##1##</font> / <font color='gold'>##2##</font>"
"talant_reincarnation_label"                                                                   "Talents have been reset"
"talents_rp_tooltip"                                                                           "You have ##count## shields."
"talents_don_tooltip"                                                                          "You have ##count## crystals."
"talents_hero_refresh_count"                                                                   "Bound to hero"
"talents_use_button_label"                                                                     "Use"
"talents_shop_refresh_count"                                                                   "For all heroes"
"talents_activate_second_branch"                                                               "Activate the second talent branch!"
"talents_activate_second_branch_error"                                                         "We forgot to add"
"error_change_limit"                                                                           "The limit for changing pets has been reached, once per game. Buy PET CANGE to disable the limit."
"error_no_pet"                                                                                 "You don't have this pet."
"dota_rp_shop_error"                                                                           "You're missing shields! You can get them for winning the game!"
"talents_unavailible_hard"                                                                     "<br><font color='red'>Not available in Hard mode</font>"
"minigame_label_1"                                                                             "ONE HELL MINI GAME!"
"minigame_label_2"                                                                             "punishment for inaction"
"minigame_label_3"                                                                             "you lose talent experience until the game ends"
"GameSetupLoadingStage_0"                                                                      "Loading scripts..."
"GameSetupLoadingStage_1"                                                                      "Loading game data..."
"GameSetupLoadingStage_2"                                                                      "Loading players"
"commens"                                                                                      "reviews"
"rating_zar"                                                                                   "You will receive a rating for winning"
"rating_nadez"                                                                                 "You will receive a rating if you lose"
"rating_difficulty"                                                                            "Difficulty level"
"rating_doom"                                                                                  "Doom rating"
"rating_your_mmr"                                                                              "Your rating"
"season_tab"                                                                                   "SEASONS"
"season"                                                                                       "SEASON"
"june"                                                                                         "JUNE"
"jule"                                                                                         "JULE"
"SEPTEMBER"                                                                                    "СЕНТЯБРЬ"
"AUGUST"                                                                                       "AUGUST"
"season_name_1"                                                                                "JULE"
"season_name_2"                                                                                "JULY"
"season_name_3"                                                                                "AUGUST"
"season_name_4"                                                                                "SEPTEMBER"
"season_name_5"                                                                                "OCTOBER"
"season_name_6"                                                                                "NOVEMBER"
"season_name_7"                                                                                "DECEMBER"
"season_name_8"                                                                                "JANUARY"
"season_name_9"                                                                                "FEBRUARY"
"season_name_10"                                                                               "MARCH"
"season_name_11"                                                                               "APRIL"
"season_name_12"                                                                               "MAY"
"season_name_13"                                                                               "JULE"
"season_name_14"                                                                               "JULY"
"season_name_15"                                                                               "AUGUST"
"season_name_16"                                                                               "SEPTEMBER"
"season_name_17"                                                                               "OCTOBER"
"season_name_18"                                                                               "NOVEMBER"
"season_name_19"                                                                               "DECEMBER"
"season_name_20"                                                                               "JANUARY"
"season_name_21"                                                                               "FEBRUARY"
"season_name_22"                                                                               "MARCH"
"season_name_23"                                                                               "APRIL"
"season_name_24"                                                                               "MAY"
"season_name_25"                                                                               "JULE"
"season_name_26"                                                                               "JULY"
"season_name_27"                                                                               "AUGUST"
"season_name_28"                                                                               "SEPTEMBER"
"season_name_29"                                                                               "OCTOBER"
"season_name_30"                                                                               "NOVEMBER"
"season_name_31"                                                                               "DECEMBER"
"season_name_32"                                                                               "JANUARY"
"season_name_33"                                                                               "FEBRUARY"
"season_name_34"                                                                               "MARCH"
"season_name_35"                                                                               "APRIL"
"season_name_36"                                                                               "MAY"
"season_name_37"                                                                               "JULE"
"season_name_38"                                                                               "JULY"
"season_name_39"                                                                               "AUGUST"
"season_name_40"                                                                               "SEPTEMBER"
"season_name_41"                                                                               "OCTOBER"
"season_name_42"                                                                               "NOVEMBER"
"season_name_43"                                                                               "DECEMBER"
"season_name_44"                                                                               "JANUARY"
"season_name_45"                                                                               "FEBRUARY"
"season_name_46"                                                                               "MARCH"
"season_name_47"                                                                               "APRIL"
"season_name_48"                                                                               "MAY"
"season_name_49"                                                                               "JULE"
"season_name_50"                                                                               "JULY"
"season_name_51"                                                                               "AUGUST"
"season_name_52"                                                                               "SEPTEMBER"
"season_name_53"                                                                               "OCTOBER"
"season_name_54"                                                                               "NOVEMBER"
"season_name_55"                                                                               "DECEMBER"
"season_name_56"                                                                               "JANUARY"
"season_name_57"                                                                               "FEBRUARY"
"season_name_58"                                                                               "MARCH"
"season_name_59"                                                                               "APRIL"
"season_name_60"                                                                               "MAY"
"dondon"                                                                                       "Donate in the game is presented in the form of crystals! Donate will open for you a unique store with unique items! You can top up your in-game crystal account by clicking on the links in the description and be sure to indicate the FRIEND ID when donating! 10 crystals = $ 1. for all questions go to the discord"
"pets"                                                                                         "Pets"
"pet_change"                                                                                   "Pet change"
"shop_image_pet_change_tooltip"                                                                "Allows you to change pets throughout the game"
"active"                                                                                       "Active"
"shop"                                                                                         "Shop"
"gems"                                                                                         "Gems"
"shop_image_effect_tooltip"                                                                    "Add beautiful effect to your hero"
"shop_image_heros_tooltip"                                                                     "Purchase a hero card to unlock 2nd talent tree branch"
"pets_info"                                                                                    "Improving the level of pets is achieved by leveling up. Food for them can be purchased using in-game currency or obtained by defeating enemies."
"pet_title"                                                                                    "Pets:  Tier"
"feed_x230_tooltip"                                                                            "230 pet food"
"feed_x600_tooltip"                                                                            "600 pet food"
"modifier_custompet_delay"                                                                     "Reloading a pet's ability."
"other_10"                                                                                     "Axe"
"other_11"                                                                                     "Bristleback"
"other_12"                                                                                     "Centaur Warrunner"
"other_13"                                                                                     "Dragon Knight"
"other_14"                                                                                     "Io"
"other_15"                                                                                     "Mars"
"other_16"                                                                                     "Sand King"
"other_17"                                                                                     "Sven"
"other_18"                                                                                     "Treant Protector"
"other_19"                                                                                     "Wraith King"
"other_20"                                                                                     "Arc Warden"
"other_21"                                                                                     "Drow Ranger"
"other_22"                                                                                     "Juggernaut"
"other_23"                                                                                     "Luna"
"other_24"                                                                                     "Phantom Assasin"
"other_25"                                                                                     "Shadow Fiend"
"other_26"                                                                                     "Slark"
"other_27"                                                                                     "Sniper"
"other_28"                                                                                     "Spectre"
"other_29"                                                                                     "Terrorblade"
"other_30"                                                                                     "Dazzle"
"other_31"                                                                                     "Lina"
"other_32"                                                                                     "Enchantress"
"other_33"                                                                                     "Lion"
"other_34"                                                                                     "Pugna"
"other_35"                                                                                     "Shadow Shaman"
"other_36"                                                                                     "Tinker"
"other_37"                                                                                     "Warlock"
"other_38"                                                                                     "Windranger"
"other_39"                                                                                     "Zeus"
"other_40"                                                                                     "Medusa"
"other_41"                                                                                     "Skywrath Mage"
"other_42"                                                                                     "Legion Commander"
"other_43"                                                                                     "Pudge"
"other_44"                                                                                     "Marci"
"other_45"                                                                                     "Cristal Maiden"
"other_46"                                                                                     "Troll Warlord"
"other_47"                                                                                     "Techies"
"other_48"                                                                                     "Alchemist"
"other_50"                                                                                     "Bloodseeker"
"other_51"                                                                                     "Gyrocopter"
"other_52"                                                                                     "Ancient Apparition"
"other_53"                                                                                     "Magnus"
"other_54"                                                                                     "Huskar"
"other_55"                                                                                     "Broodmother"
"other_56"                                                                                     "Silencer"
"scroll_1"                                                                                     "Armor scroll"
"dota_tooltip_ability_item_armor_aura"                                                         "Armor scroll"
"dota_tooltip_ability_item_armor_aura_description"                                             "Using this scroll, heroes within a 1000 radius will receive an armor bonus equal to 10% of the total attributes. \n Upon death, the buff disappears."
"dota_tooltip_ability_item_armor_aura_dur"                                                     "DURATION:"
"dota_tooltip_modifier_item_armor_aura"                                                        "Armor scroll buff"
"dota_tooltip_modifier_item_armor_aura_description"                                            "Gain alot of armor Tanky"
"scroll_2"                                                                                     "Damage scroll"
"dota_tooltip_ability_item_base_damage_aura"                                                   "Damage scroll"
"dota_tooltip_ability_item_base_damage_aura_description"                                       "Using this scroll, heroes within a radius of 1000 will receive +20% to basic attack. \n Upon death, the buff disappears."
"dota_tooltip_ability_item_base_damage_aura_dur"                                               "DURATION:"
"dota_tooltip_modifier_item_base_damage_aura"                                                  "Damage Scroll Buff"
"dota_tooltip_modifier_item_base_damage_aura_description"                                      "You deal more damage"
"scroll_3"                                                                                     "Experience scroll"
"dota_tooltip_ability_item_expiriance_aura"                                                    "Experience scroll"
"dota_tooltip_ability_item_expiriance_aura_description"                                        "Using this scroll, heroes within a 1000 radius will begin to gain 10% more experience.\n Upon death, the buff disappears."
"dota_tooltip_ability_item_expiriance_aura_dur"                                                "DURATION:"
"dota_tooltip_modifier_item_expiriance_aura"                                                   "Experience Scroll Buff"
"dota_tooltip_modifier_item_expiriance_aura_description"                                       "You gain more experience"
"scroll_4"                                                                                     "Movement scroll"
"dota_tooltip_ability_item_move_aura"                                                          "Movement scroll"
"dota_tooltip_ability_item_move_aura_description"                                              "Using this scroll, heroes within a radius of 1000 will gain 100 movement speed. \n When killed, the buff disappears."
"dota_tooltip_ability_item_move_aura_dur"                                                      "DURATION:"
"dota_tooltip_modifier_item_move_aura"                                                         "Movement scroll Buff"
"dota_tooltip_modifier_item_move_aura_description"                                             "Gain Movement speed bonus"
"scroll_5"                                                                                     "Speed scroll"
"dota_tooltip_ability_item_attack_speed_aura"                                                  "Speed scroll"
"dota_tooltip_ability_item_attack_speed_aura_description"                                      "Using this scroll, heroes within a 1000 radius will gain 50 attack speed. \n The buff disappears upon death."
"dota_tooltip_ability_item_attack_speed_aura_dur"                                              "DURATION:"
"dota_tooltip_modifier_item_attack_speed_aura"                                                 "Speed scroll ​​Buff"
"dota_tooltip_modifier_item_attack_speed_aura_description"                                     "Gain Attack speed"
"scroll_6"                                                                                     "Regeneration scroll"
"dota_tooltip_ability_item_hp_aura"                                                            "Regeneration scroll"
"dota_tooltip_ability_item_hp_aura_description"                                                "Using this scroll, heroes within a 1000 radius will gain 2% health and mana regeneration. \n The buff disappears upon death."
"dota_tooltip_ability_item_hp_aura_dur"                                                        "DURATION:"
"dota_tooltip_modifier_item_hp_aura"                                                           "Regeneration scroll Buff"
"dota_tooltip_modifier_item_hp_aura_description"                                               "Increased Health regeneration"
"scroll_13"                                                                                    "Scroll of magic damage"
"dota_tooltip_ability_item_book_mage_damage"                                                   "Scroll of Magic Damage"
"dota_tooltip_ability_item_book_mage_damage_description"                                       "Using this scroll, heroes within a 1000 radius will receive 20% magic damage.\n When killed, the buff disappears."
"dota_tooltip_ability_item_book_mage_damage_dur"                                               "Duration:"
"dota_tooltip_modifier_item_book_mage_damage"                                                  "Magic Damage Scroll Buff"
"dota_tooltip_modifier_item_book_mage_damage_description"                                      "Magic damage increased"
"scroll_14"                                                                                    "Scroll of physical damage"
"dota_tooltip_ability_item_book_phys_damage"                                                   "Physical Damage Scroll"
"dota_tooltip_ability_item_book_phys_damage_description"                                       "Using this scroll, heroes within a 1000 radius will receive 20% physical damage.\n When killed, the buff disappears."
"dota_tooltip_ability_item_book_phys_damage_dur"                                               "Duration:"
"dota_tooltip_modifier_item_book_phys_damage"                                                  "Physical Damage Scroll Buff"
"dota_tooltip_modifier_item_book_phys_damage_description"                                      "Physical damage increased"
"scroll_15"                                                                                    "Scroll of Gold"
"dota_tooltip_ability_item_book_gold"                                                          "Scroll of Gold"
"dota_tooltip_ability_item_book_gold_description"                                              "By using this scroll, heroes within a 1000 radius will begin to receive 20% more gold.\n When they die, the buff disappears."
"dota_tooltip_ability_item_book_gold_dur"                                                      "Duration:"
"dota_tooltip_modifier_item_book_gold"                                                         "Gold Scroll Buff"
"dota_tooltip_modifier_item_book_gold_description"                                             "You get more gold"
"tooltip_purple_gem_description"                                                               "lifesteal Gem"
"tooltip_blue_gem_description"                                                                 "Magic Damage Gem"
"tooltip_orange_gem_description"                                                               "Stats Gem"
"tooltip_red_gem_description"                                                                  "Base Damage Gem"
"tooltip_green_gem_description"                                                                "Regeneration Gem"
"gem_1_1000"                                                                                   "lifesteal Gem"
"gem_2_1000"                                                                                   "Magic Damage Gem"
"gem_3_1000"                                                                                   "Stats Gem"
"gem_4_1000"                                                                                   "Base Damage Gem"
"gem_5_1000"                                                                                   "Regeneration Gem"
"dota_tooltip_ability_item_gems_1"                                                             "<font color='#b000cf'>lifesteal Gem</font>"
"dota_tooltip_ability_item_gems_2"                                                             "<font color='#0059ff'>Magic Damage Gem</font>"
"dota_tooltip_ability_item_gems_3"                                                             "<font color='#ffdd00'>Stats Gem</font>"
"dota_tooltip_ability_item_gems_4"                                                             "<font color='#ff0000'>Base Damage Gem</font>"
"dota_tooltip_ability_item_gems_5"                                                             "<font color='#00ff26'>Regeneration Gem</font>"
"shop_gem_purple_puck_1"                                                                       "1000 Gems"
"shop_gem_blue_puck_1"                                                                         "1000 Gems"
"shop_gem_orange_puck_1"                                                                       "1000 Gems"
