"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"language"                                                                                     "Chinese"
"quest_item_quest_line_klyk"                                                                   "帶上獠牙"
"quest_item_quest_line_klyk_desc"                                                              "給我帶來幾顆敵人的尖牙。我會用它們做紀念品。"
"quest_item_quest_line_mirow"                                                                  "帶上鏡子"
"quest_item_quest_line_mirow_desc"                                                             "我是世界上最可愛的人，比所有人都臉紅和白嗎？把鏡子給我！"
"quest_item_quest_line_pivo"                                                                   "帶啤酒"
"quest_item_quest_line_pivo_desc"                                                              "所以你想弄濕你的喉嚨！騎車喝啤酒！"
"quest_item_quest_line_rock"                                                                   "帶上符文"
"quest_item_quest_line_rock_desc"                                                              "他們說符文蘊含著前所未有的力量！給我來一對！"
"quest_item_quest_line_sun"                                                                    "帶上太陽標誌"
"quest_item_quest_line_sun_desc"                                                               "拉本人，將這些神器送到地球，你能給我帶來幾個太陽標誌嗎？"
"quest_item_quest_line_book"                                                                   "帶來黑暗堡壘"
"quest_item_quest_line_book_desc"                                                              "你知道我有一所魔法學校嗎？當然不是霍格沃茨，但他們也可以教一些東西，儘管我們沒有足夠的書。把黑暗堡壘帶給我。"
"quest_item_quest_line_boots"                                                                  "帶上機器人"
"quest_item_quest_line_boots_desc"                                                             "我有一個大家庭，每個人都缺鞋，你能給我們帶一雙鞋嗎？"
"quest_item_kletka_off"                                                                        "抓住松鼠"
"quest_item_kletka_off_desc"                                                                   "替我抓松鼠"
"quest_village_sheep_1"                                                                        "找羊"
"quest_village_sheep_1_desc"                                                                   "尋找我的羊"
"quest_village_belka"                                                                          "殺松鼠"
"quest_village_belka_desc"                                                                     "殺松鼠"
"quest_item_gold_brus"                                                                         "挖金條"
"quest_item_gold_brus_desc"                                                                    "挖金條"
"quest_any_creeps_2"                                                                           "殺死森林居民"
"quest_any_creeps_2_des"                                                                       "這片森林裡到處都是各種各樣的生物，有必要把它清理乾淨，在這片森林裡殺了你能殺的人。"
"quest_item_quest_moon_desc"                                                                   "我喜歡各種美麗的東西，把月亮項鍊帶給我。"
"quest_any_creep_tank"                                                                         "殺死任何小兵"
"quest_tank_any_creep"                                                                         "殺死任何小兵"
"quest_tank_any_creep_desc"                                                                    "殺死任何小兵"
"quest_any_creep_tank_desc"                                                                    "你好！奎恩埃雷斯？你還不能拉到強大的戰士...嘗試殺死n個小兵，你可以依靠我"
"quest_def_wave_tank"                                                                          "防禦海浪"
"quest_def_wave_tank_desc"                                                                     "一個戰士需要強大的耐力和自製力，堅持n波並獲得獎勵"
"quest_item_quest_line_helm_desc"                                                              "小偷偷走了我們的頭盔，我希望你不要把我們留在坐浴盆裡，幫助我們把它們找回來！？"
"quest_item_quest_line_helm"                                                                   "頭盔"
"quest_item_quest_line_koren_desc"                                                             "小偷偷走了我們的根，希望你不要把我們丟在浴盆裡，幫助我們把它們找回來！？"
"quest_item_quest_line_koren"                                                                  "根"
"quest_item_quest_line_ring_desc"                                                              "小偷偷走了我們的戒指，我希望你不要把我們留在坐浴盆裡，幫助我們把它們找回來！？"
"quest_item_quest_line_ring"                                                                   "戒指"
"quest_item_quest_line_skull_desc"                                                             "盜賊偷走了我們的頭骨，我希望你不要把我們留在坐浴盆裡，幫助我們把它們找回來！？"
"quest_item_quest_line_skull"                                                                  "頭骨"
"quest_item_quest_line_sword_desc"                                                             "小偷偷走了我們的刀片，希望你不要把我們留在坐浴盆裡，幫助我們把它們找回來！？"
"quest_item_quest_line_sword"                                                                  "刀片"
"quest_tank_damage_desc"                                                                       "你開始像一個無法控制自己的瘋子！吸收所有傷口和割傷並獲得獎勵"
"quest_tank_damage"                                                                            "吸收的傷害"
"quest_make_damage_desc"                                                                       "你開始像一個無法控制自己的瘋子！造成盡可能多的傷害"
"quest_make_damage"                                                                            "造成的傷害"
"quest_tank_1_creep_desc"                                                                      "展示你對武器的掌握，希望你不會失敗。"
"quest_tank_1_creep"                                                                           "殺戮線小兵"
"quest_tank_2_creep_desc"                                                                      "展示你對武器的掌握，希望你不會失敗。"
"quest_tank_2_creep"                                                                           "殺死車道指揮官"
"quest_item_key_desc"                                                                          "把鑰匙給我"
"quest_item_key"                                                                               "把鑰匙給我"
"quest_item_dragon_soul"                                                                       "紅龍魂"
"quest_item_dragon_soul_2"                                                                     "青龍魂"
"quest_item_dragon_soul_3"                                                                     "金龍魂"
"quest_snow_creep_1"                                                                           "该位置的任何小兵"
"quest_snow_creep_desc"                                                                        "杀死该区域的所有小兵"
"quest_last_creep_1"                                                                           "该位置的任何小兵"
"quest_last_creep_desc"                                                                        "杀死该区域内的所有小兵"
"quest_snow_boss"                                                                              "大鹅卵石"
"quest_snow_boss_desc"                                                                         "杀死大石头"
"quest_location8_boss_desc"                                                                    "前往最后的耕种地点"
"quest_tank_any_boss"                                                                          "杀死首领"
"quest_tank_any_boss_desc"                                                                     "杀死任何首领"
"quest_tank_any_mid_creep"                                                                     "中级小兵"
"quest_tank_any_mid_creep_desc"                                                                "杀死任何中间小兵"
"quest_item_quest_necronomicon"                                                                "寻找死灵之书"
"quest_item_quest_necronomicon_desc"                                                           "死灵书从线上 Boss 掉落，找到它"
"quest_npc_quest_dragon"                                                                       "去他妈的龙"
"quest_npc_quest_dragon_desc"                                                                  "如果你在这个位置杀死了一个大怪物，有可能会生成一条龙"
"quest_medusa_ward"                                                                            "摧毁守卫"
"quest_medusa_ward_desc"                                                                       "打破剧毒术士结界"
"souls_stash"                                                                                  "灵魂"
"dota_tooltip_ability_item_quest_blue_ice"                                                     "蓝冰"
"quest_item_quest_blue_ice"                                                                    "蓝冰"
"quest_item_quest_blue_ice_desc"                                                               "伙计，给我一些蓝冰，我不会欠债的"
"quest_get_rune"                                                                               "捡起一个符文"
"quest_get_rune_desc"                                                                          "这里有一个符文，找到并拿走"
"item_gold_brus"                                                                               "金锭"
"quest_npc_boss_location8"                                                                     "杀死黑龙"
"quest_necro_warior_tank_desc"                                                                 "杀死两名死灵战士"
"quest_necro_warior_tank"                                                                      "杀死死灵"
"quest_npc_mega_boss"                                                                          "杀死厄运"
"quest_npc_mega_boss_desc"                                                                     "杀死厄运 3 次"
"quest_farm_zone_dragon"                                                                       "将黑龙带入地球"
"quest_farm_zone_dragon_desc"                                                                  "杀掉养殖区的黑龙"
"quest_npc_snow_boss"                                                                          "杀死雪老板"
"quest_npc_snow_boss_desc"                                                                     "杀死雪老板"
"dota_tooltip_ability_item_cheese_lua"                                                         "奶酪"
"dota_tooltip_ability_item_cheese_lua_description"                                             "美味又营养，吃完获得全属性加成 +%all% * 肉山击杀数量。"
"dota_tooltip_ability_item_greed_str"                                                          "力量贪婪之书"
"dota_tooltip_ability_item_greed_str_description"                                              "<h1>主动：阅读</h1></h1>使用增加 %bonus_stat% 力量。<br><br><h1>被动：贪婪</h1>每 %cost% 金币，物品就会获得一次充能。"
"dota_tooltip_ability_item_greed_str_note0"                                                    "使用一次充电会永久浪费该物品。"
"dota_tooltip_ability_item_greed_str_note1"                                                    "要使被动技能生效，物品必须在物品栏中"
"dota_tooltip_ability_item_greed_agi"                                                          "敏捷贪婪之书"
"dota_tooltip_ability_item_greed_agi_description"                                              "<h1>主动：阅读</h1></h1>使用会增加 %bonus_stat% 敏捷度。<br><br><h1>被动：贪婪</h1>物品每 %cost% 金币就会获得一次充能。"
"dota_tooltip_ability_item_greed_agi_note0"                                                    "使用一次充电会永久浪费该物品。"
"dota_tooltip_ability_item_greed_agi_note1"                                                    "要使被动技能生效，物品必须在物品栏中"
"dota_tooltip_ability_item_greed_int"                                                          "智力贪婪之书"
"dota_tooltip_ability_item_greed_int_description"                                              "<h1>主动：阅读</h1></h1>使用会增加 %bonus_stat% 智力。<br><br><h1>被动：贪婪</h1>物品每 %cost% 金币就会获得一次充能。"
"dota_tooltip_ability_item_greed_int_note0"                                                    "使用一次充电会永久浪费该物品。"
"dota_tooltip_ability_item_greed_int_note1"                                                    "要使被动技能生效，物品必须在物品栏中"
"dota_tooltip_ability_item_weird_potion"                                                       "奇怪的药水"
"dota_tooltip_ability_item_weird_potion_description"                                           "<h1>主动：阅读</h1></h1>使用会为所有属性增加 %bonus_stat%。<br><br><h1>被动：贪婪</h1>该物品每 <字体颜色='#ffff00'> 72000 金</font>。"
"dota_tooltip_ability_item_weird_potion_note0"                                                 "使用一次充电会永久浪费该物品。"
"dota_tooltip_ability_item_weird_potion_lore"                                                  "一种由炼金术士酿造的奇怪药水，喝下后可以杀死佩戴者，或者给予强大的力量。"
"dota_tooltip_ability_item_weird_potion_note1"                                                 "要使被动技能生效，物品必须在物品栏中"
"DOTA_Tooltip_ability_item_boots_of_bearing_lua_Description"                                   "<h1>主動：耐力</h1>作用於周圍的盟友。消耗一次充能以將他們的攻擊速度提高 %bonus_attack_speed_pct% 並將移動速度提高 %bonus_movement_speed_pct%%%。有效 %duration% 秒。<br><br>最初它有 0 次充電。每次擊殺任何單位獲得 1 次充能。<br><br>每次使用消耗 %charges% 的充能。<br><br>半徑：%radius%\n\n<h1>被動：迅捷光環</h1>將周圍友軍的移動速度提高 %aura_movement_speed%。 <br><br>半徑：%radius%"
"DOTA_Tooltip_ability_item_boots_of_bearing_lua_bonus_str"                                     "+$str"
"DOTA_Tooltip_ability_item_boots_of_bearing_lua_bonus_int"                                     "+$int"
"DOTA_Tooltip_ability_item_boots_of_bearing_lua_bonus_movement_speed"                          "+$move_speed"
"DOTA_Tooltip_ability_item_boots_of_bearing_lua_bonus_health_regen"                            "+$hp_regen"
"DOTA_Tooltip_modifier_item_boots_of_bearing_lua_aura"                                         "迅捷光環"
"DOTA_Tooltip_modifier_item_boots_of_bearing_lua_aura_Description"                             "移動速度增加 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%。"
"DOTA_Tooltip_modifier_item_boots_of_bearing_lua_active"                                       "耐力"
"DOTA_Tooltip_modifier_item_boots_of_bearing_lua_active_Description"                           "移動速度提高了 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。\n攻擊速度提高了 %dMODIFIER_PROPERTY_TOOLTIP%。"
"DOTA_Tooltip_Ability_item_boots_of_bearing_lua"                                               "軸承之靴"
"DOTA_Tooltip_modifier_item_meteor_hammer_lua_burn"                                            "流星锤燃烧"
"DOTA_Tooltip_modifier_item_meteor_hammer_lua_burn_Description"                                "每 %burn_interval% 秒受到 %burn_dps_units% 伤害。"
"DOTA_Tooltip_modifier_item_blodstone_active_lua"                                              "血契"
"DOTA_Tooltip_modifier_item_blodstone_active_lua_Description"                                  "每秒再生 %dMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP。"
"dota_tooltip_modifier_assault_lua_aura_positive_effect"                                       "突擊胸甲"
"dota_tooltip_modifier_assault_lua_aura_positive_effect_description"                           "護甲提高 %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%。\n攻擊速度提高 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%。"
"DOTA_Tooltip_modifier_assault_lua_aura_negative_effect"                                       "强袭胸甲"
"DOTA_Tooltip_modifier_assault_lua_aura_negative_effect_Description"                           "护甲被降低%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
"DOTA_Tooltip_modifier_item_crimson_guard_active_lua "                                         "警衛"
"DOTA_Tooltip_modifier_item_crimson_guard_active_lua_Description "                             "有 100%% 的機率格擋 %dMODIFIER_PROPERTY_PHYSICAL_CONSTANT_BLOCK% 來自傳入攻擊的傷害。"
"DOTA_Tooltip_modifier_item_veil_of_discord_active_lua"                                        "魔法弱點"
"DOTA_Tooltip_modifier_item_veil_of_discord_active_lua_Description"                            "魔法傷害增加了 %dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%。"
"DOTA_Tooltip_modifier_item_veil_of_discord_aura_lua"                                          "纷争面纱"
"DOTA_Tooltip_modifier_item_veil_of_discord_aura_lua_Description"                              "向友军提供魔法恢复。"
"DOTA_Tooltip_modifier_item_ethereal_blade_ally"                                               "以太爆炸"
"DOTA_Tooltip_modifier_item_ethereal_blade_ally_Description"                                   "空靈形態。受到 %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_DECREPIFY_UNIQUE%%% 的魔法傷害增加並且無法攻擊或被攻擊。"
"dota_tooltip_modifier_item_pipe_aura_lua"                                                     "洞察光環"
"dota_tooltip_modifier_item_pipe_aura_lua_description"                                         "每秒再生 %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% HP 和 +%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS% 額外魔法抗性。"
"DOTA_Tooltip_modifier_item_mjollnir_active"                                                   "雷神之鎚靜電荷"
"DOTA_Tooltip_modifier_item_mjollnir_active_Description"                                       "受到攻擊時，閃電有 %dMODIFIER_PROPERTY_TOOLTIP%%% 的機率擊中攻擊者和 %dMODIFIER_PROPERTY_TOOLTIP% 附近的其他敵人。"
"DOTA_Tooltip_modifier_satanic_lua_active"                                                     "邪惡之怒"
"DOTA_Tooltip_modifier_satanic_lua_active_Description"                                         "吸血提高到 200%"
"dota_tooltip_ability_item_blight_stone_lua"                                                   "枯萎石"
"dota_tooltip_ability_item_blight_stone_lua_description"                                       "<h1>被動：低級腐蝕</h1> 攻擊會使目標的護甲降低 %corruption_armor%。效果持續 %corruption_duration% 秒。"
"dota_tooltip_ability_item_blight_ston_luae_note0"                                             "護甲減少不會與由它創建的物品的效果疊加。"
"dota_tooltip_ability_item_sheepstick_lua_description"                                         "<h1>主動：妖術</h1> 將目標變成無害的動物，持續 %sheep_duration% 秒。受害者不能攻擊、使用技能或使用物品，並且她的基本速度下降到 140。每 10 秒不能對同一個生物施放超過一次。 \n <h1>被動：女巫之刃</h1>下一次攻擊會使受害者中毒 % duration% 秒。並且每一秒都會對它造成等於所有者智力乘以%intellect_dmg%的傷害。效果不清爽。"
"dota_tooltip_ability_item_tank_cuirass"                                                       "光譜鐮刀"
"dota_tooltip_ability_item_tank_cuirass_description"                                           "<h1>被動：幽靈</h1> 每個英雄的攻擊都會造成相當於其主要屬性 %bonus_primary%%% 的額外傷害。"
"dota_tooltip_ability_item_tank_cuirass_damage_bonus"                                          "基礎傷害加成："
"dota_tooltip_ability_item_tank_cuirass_attack_speed"                                          "攻擊速度獎勵："
"dota_tooltip_ability_item_tank_cuirass_lifesteal"                                             "%吸血鬼："
"dota_tooltip_ability_item_tank_crimson"                                                       "龍面紗"
"dota_tooltip_ability_item_tank_crimson_description"                                           "<h1>被動：龍</h1> %aura_radius% 範圍內敵人的魔法抗性降低 %mag_res_reduse%"
"dota_tooltip_ability_item_tank_crimson_bonus_all_stats"                                       "所有屬性獎勵："
"dota_tooltip_ability_item_tank_crimson_spell_amp"                                             "%拼寫放大："
"dota_tooltip_ability_item_tank_crimson_mana_regen"                                            "%法力回复："
"dota_tooltip_ability_item_tank_hell"                                                          "Hell Radiance"
"dota_tooltip_ability_item_tank_hell_description"                                              "<h1>被動：地獄</h1> 對范圍內的所有敵人造成 %damage_persent%%% 的最大生命值，並使他們有 %miss_persent%% 的時間無法命中。"
"dota_tooltip_ability_item_tank_hell_health_bonus"                                             "健康獎勵："
"dota_tooltip_ability_item_tank_hell_bonus_all_stats"                                          "所有屬性獎勵："
"dota_tooltip_ability_item_tank_hell_bonus_move_speed"                                         "% 治療和吸血鬼放大："
"dota_tooltip_ability_item_tank_hell_magic_resist"                                             "%魔抗："
"dota_tooltip_modifier_increase_int"                                                           "敏捷堆疊"
"dota_tooltip_modifier_increase_str"                                                           "力量堆疊"
"dota_tooltip_modifier_increase_agi"                                                           "成堆的情報"
"DOTA_Tooltip_ability_alchemist_acid_spray_lua"                                                "酸噴霧"
"DOTA_Tooltip_ability_alchemist_acid_spray_lua_Description"                                    "在指定區域噴灑一團酸液，對敵人造成周期性傷害並降低其護甲。"
"DOTA_Tooltip_ability_alchemist_acid_spray_lua_radius"                                         "分佈半徑："
"DOTA_Tooltip_ability_alchemist_acid_spray_lua_duration"                                       "期間："
"DOTA_Tooltip_ability_alchemist_acid_spray_lua_damage"                                         "輸出："
"DOTA_Tooltip_ability_alchemist_acid_spray_lua_armor_reduction"                                "減少護甲："
"DOTA_Tooltip_ability_alchemist_unstable_concoction_lua"                                       "不穩定的混合物"
"DOTA_Tooltip_ability_alchemist_unstable_concoction_lua_description"                           "英雄向敵人扔了一個裝有嘎嘎作響的混合物的燒瓶。被擊中時，藥劑會爆炸造成巨大傷害，使爆炸範圍內的所有敵人中毒，並對其造成相當於主要傷害 25%% 的周期性傷害。"
"DOTA_Tooltip_ability_alchemist_unstable_concoction_lua_duration"                              "中毒持續時間："
"DOTA_Tooltip_ability_alchemist_unstable_concoction_lua_radius"                                "半徑爆炸："
"DOTA_Tooltip_ability_alchemist_unstable_concoction_lua_damage"                                "爆炸傷害："
"DOTA_Tooltip_ability_alchemist_unstable_concoction_lua_tick_damage"                           "毒害："
"DOTA_Tooltip_ability_alchemist_greevils_greed_lua"                                            "貪魔的貪婪"
"DOTA_Tooltip_ability_alchemist_greevils_greed_lua_Description"                                "允許你從敵人身上合成更多的金幣。使用該技能，英雄會在他面前隨機挖掘一個符文。"
"DOTA_Tooltip_ability_alchemist_greevils_greed_lua_bonus_gold"                                 "開始獎金："
"DOTA_Tooltip_ability_alchemist_chemical_rage_lua"                                             "化學狂暴"
"DOTA_Tooltip_ability_alchemist_chemical_rage_lua_Description"                                 "一種特殊的化學混合物激怒了英雄，使他的攻擊延遲減少，他的移動速度和生命值和法力的恢復增加。"
"DOTA_Tooltip_ability_alchemist_chemical_rage_lua_duration"                                    "期間："
"DOTA_Tooltip_ability_alchemist_chemical_rage_lua_base_attack_time"                            "基本攻擊時間："
"DOTA_Tooltip_ability_alchemist_chemical_rage_lua_bonus_health_regen"                          "額外的健康再生："
"DOTA_Tooltip_ability_alchemist_chemical_rage_lua_bonus_mana_regen"                            "額外的法力回复："
"DOTA_Tooltip_ability_alchemist_chemical_rage_lua_bonus_movespeed"                             "%移動速度獎勵："
"npc_dota_hero_alchemist_str6"                                                                 "刀槍不入"
"npc_dota_hero_alchemist_str6_description"                                                     "施加化學狂暴後獲得 5 秒魔法免疫"
"npc_dota_hero_alchemist_str7"                                                                 "全力以赴"
"npc_dota_hero_alchemist_str7_description"                                                     "所有技能的傷害取決於英雄的實力"
"npc_dota_hero_alchemist_str8"                                                                 "粘度"
"npc_dota_hero_alchemist_str8_description"                                                     "酸性噴霧減慢 50%"
"npc_dota_hero_alchemist_str9"                                                                 "嘗試打破"
"npc_dota_hero_alchemist_str9_description"                                                     "化學狂暴提供等同於英雄等級的護甲加成"
"npc_dota_hero_alchemist_str10"                                                                "更新陣容"
"npc_dota_hero_alchemist_str10_description"                                                    "化學狂暴期間 +3%/1.5% 生命值和法力恢復"
"npc_dota_hero_alchemist_str11"                                                                "苛性酸"
"npc_dota_hero_alchemist_str11_description"                                                    "25% 的情況下，酸性噴霧中的敵人會失手"
"npc_dota_hero_alchemist_str12"                                                                "腐蝕"
"npc_dota_hero_alchemist_str12_description"                                                    "酸性噴霧減少 5 倍的護甲。"
"npc_dota_hero_alchemist_agi6"                                                                 "越來越強"
"npc_dota_hero_alchemist_agi6_description"                                                     "每級 +5 傷害"
"npc_dota_hero_alchemist_agi7"                                                                 "一切都在敏捷"
"npc_dota_hero_alchemist_agi7_description"                                                     "所有技能的傷害取決於英雄的靈巧"
"npc_dota_hero_alchemist_agi8"                                                                 "毒"
"npc_dota_hero_alchemist_agi8_description"                                                     "攻擊使受害者中毒 2 秒，造成酸性噴霧的魔法傷害（未放大）"
"npc_dota_hero_alchemist_agi9"                                                                 "正中目標"
"npc_dota_hero_alchemist_agi9_description"                                                     "目標不穩定混合物獲得 3 秒 stan，英雄對該目標的傷害將提高 15%。"
"npc_dota_hero_alchemist_agi10"                                                                "更強大"
"npc_dota_hero_alchemist_agi10_description"                                                    "在化學狂暴期間，英雄獲得等同於英雄敏捷的傷害加成"
"npc_dota_hero_alchemist_agi11"                                                                "暴擊"
"npc_dota_hero_alchemist_agi11_description"                                                    "在化學狂暴期間，每 3 次打擊是 200% 暴擊"
"npc_dota_hero_alchemist_agi12"                                                                "金錢力量"
"npc_dota_hero_alchemist_agi12_description"                                                    "每擁有 15 點金幣，英雄就會受到 1 點基礎傷害"
"npc_dota_hero_alchemist_int6"                                                                 "幾乎像魔術師"
"npc_dota_hero_alchemist_int6_description"                                                     "25% 冷卻時間減少"
"npc_dota_hero_alchemist_int7"                                                                 "圖書館之旅"
"npc_dota_hero_alchemist_int7_description"                                                     "所有技能的傷害變為魔法"
"npc_dota_hero_alchemist_int8"                                                                 "一切為了理智"
"npc_dota_hero_alchemist_int8_description"                                                     "所有技能的傷害取決於英雄的智力"
"npc_dota_hero_alchemist_int9"                                                                 "財富"
"npc_dota_hero_alchemist_int9_description"                                                     "+50% 黃金到貪魔的貪婪"
"npc_dota_hero_alchemist_int10"                                                                "心理"
"npc_dota_hero_alchemist_int10_description"                                                    "投擲 3 次不穩定的混合物"
"npc_dota_hero_alchemist_int11"                                                                "毒爆"
"npc_dota_hero_alchemist_int11_description"                                                    "Unstable Concoction 向爆炸現場施加酸性噴霧"
"npc_dota_hero_alchemist_int12"                                                                "每人一分​​錢"
"npc_dota_hero_alchemist_int12_description"                                                    "貪魔的貪婪對盟友的效果提高 50%"
"dota_tooltip_ability_techies_land_mines_lua"                                                  "鄰近礦山"
"dota_tooltip_ability_techies_land_mines_lua_lore"                                             "Tater's nightmare!"
"dota_tooltip_ability_techies_land_mines_lua_description"                                      "設置為我的。如果敵人在 %activation_time% 秒內，地雷就會爆炸。距離它 %small_radius%。爆炸對整個觸發區域造成完全傷害。"
"dota_tooltip_ability_techies_land_mines_lua_damage"                                           "損害："
"dota_tooltip_ability_techies_land_mines_lua_small_radius"                                     "半徑："
"dota_tooltip_ability_techies_land_mines_lua_activation_time"                                  "延遲："
"dota_tooltip_ability_techies_stasis_trap_lua"                                                 "停滯陷阱"
"dota_tooltip_ability_techies_stasis_trap_lua_description"                                     "設置一個陷阱，觸發後會定身敵方生物並降低其護甲和魔法抗性。"
"dota_tooltip_ability_techies_stasis_trap_lua_root_duration"                                   "期間："
"dota_tooltip_ability_techies_stasis_trap_lua_radius"                                          "半徑："
"dota_tooltip_ability_techies_stasis_trap_lua_debuff"                                          "阻力減少百分比："
"dota_tooltip_ability_techies_suicide_lua"                                                     "火藥！"
"dota_tooltip_ability_techies_suicide_lua_description"                                         "如果礦工死於堆疊數量的平均嚴重程度，英雄每秒會累積一堆火藥"
"dota_tooltip_ability_techies_suicide_lua_damage_per_stack"                                    "傷害 ЗА СТАК:"
"dota_tooltip_ability_techies_suicide_lua_radius"                                              "半徑："
"dota_tooltip_ability_techies_remote_mines_lua"                                                "遠程挖礦"
"dota_tooltip_ability_techies_remote_mines_lua_description"                                    "種植一個隱形地雷，只有在短暫延遲後手動激活時才會爆炸。不會損壞建築物。"
"dota_tooltip_ability_techies_remote_mines_lua_radius"                                         "半徑爆炸："
"dota_tooltip_ability_techies_remote_mines_lua_damage"                                         "損害："
"dota_tooltip_ability_techies_remote_mines_lua_duration"                                       "期間："
"dota_tooltip_ability_techies_focused_detonate_lua"                                            "集中引爆"
"dota_tooltip_ability_techies_focused_detonate_lua_description"                                "引爆選定區域內的所有地雷。"
"dota_tooltip_ability_techies_focused_detonate_lua_radius"                                     "半徑："
"dota_tooltip_ability_techies_remote_mines_self_detonate_lua"                                  "精確引爆"
"dota_tooltip_ability_techies_remote_mines_self_detonate_lua_description"                      "引爆所有選定的 RC 地雷。"
"dota_tooltip_ability_techies_remote_mines_self_detonate_lua_lore"                             "Boom!"
"dota_tooltip_modifier_techies_stasis_trap_stunned"                                            "暈眩陷阱"
"dota_tooltip_modifier_techies_stasis_trap_stunned_description"                                "你發現了一個工程師的靜止陷阱！"
"npc_dota_hero_techies_str6"                                                                   "人生的坎坷"
"npc_dota_hero_techies_str6_description"                                                       "每級 +150 馬力"
"npc_dota_hero_techies_str7"                                                                   "台車加固"
"npc_dota_hero_techies_str7_description"                                                       "+10% 護甲和梯子抗性降低"
"npc_dota_hero_techies_str8"                                                                   "更多的火"
"npc_dota_hero_techies_str8_description"                                                       "如果爆炸範圍內有礦工，地雷傷害+50%"
"npc_dota_hero_techies_str9"                                                                   "權力爆炸"
"npc_dota_hero_techies_str9_description"                                                       "地雷額外傷害等於礦工生命值的 2%"
"npc_dota_hero_techies_str10"                                                                  "小車加固 2"
"npc_dota_hero_techies_str10_description"                                                      "+10% 護甲和梯子抗性降低"
"npc_dota_hero_techies_str11"                                                                  "大繁榮"
"npc_dota_hero_techies_str11_description"                                                      "地雷爆炸範圍 +300"
"npc_dota_hero_techies_str12"                                                                  "成對的東西"
"npc_dota_hero_techies_str12_description"                                                      "在 11 點設置 2 個地雷"
"npc_dota_hero_techies_agi6"                                                                   "爆發性的憤怒激增"
"npc_dota_hero_techies_agi6_description"                                                       "每级 +5 伤害"
"npc_dota_hero_techies_agi7"                                                                   "遠距離破壞"
"npc_dota_hero_techies_agi7_description"                                                       "地雷傷害+基礎英雄傷害"
"npc_dota_hero_techies_agi8"                                                                   "靜臂"
"npc_dota_hero_techies_agi8_description"                                                       "静电陷阱造成相当于英雄生命值 3% 的伤害"
"npc_dota_hero_techies_agi9"                                                                   "弩砲"
"npc_dota_hero_techies_agi9_description"                                                       "對 3 個目標進行分裂射擊"
"npc_dota_hero_techies_agi10"                                                                  "運動已死"
"npc_dota_hero_techies_agi10_description"                                                      "地雷可以以 25 速度移動"
"npc_dota_hero_techies_agi11"                                                                  "核熱潮"
"npc_dota_hero_techies_agi11_description"                                                      "x2 地雷基礎傷害"
"npc_dota_hero_techies_agi12"                                                                  "礦井爆炸"
"npc_dota_hero_techies_agi12_description"                                                      "攻擊時有 5% 機率種植地雷"
"npc_dota_hero_techies_int6"                                                                   "明智地開採"
"npc_dota_hero_techies_int6_description"                                                       "地雷傷害+英雄智力"
"npc_dota_hero_techies_int7"                                                                   "炸彈機智"
"npc_dota_hero_techies_int7_description"                                                       "遠程地雷傷害 +1.5 英雄智力"
"npc_dota_hero_techies_int8"                                                                   "在計時器上"
"npc_dota_hero_techies_int8_description"                                                       "+120 秒遠程地雷持續時間"
"npc_dota_hero_techies_int9"                                                                   "超自殺"
"npc_dota_hero_techies_int9_description"                                                       "x2 自殺傷害"
"npc_dota_hero_techies_int10"                                                                  "科學乘數"
"npc_dota_hero_techies_int10_description"                                                      "x2 傷害遠程地雷"
"npc_dota_hero_techies_int11"                                                                  "解除限制"
"npc_dota_hero_techies_int11_description"                                                      "+240 秒遠程地雷持續時間"
"npc_dota_hero_techies_int12"                                                                  "核彈頭"
"npc_dota_hero_techies_int12_description"                                                      "死亡時有 35% 的機率不會失去自殺層數"
"DOTA_Tooltip_ability_troll_warlord_rage_lua"                                                  "愤怒"
"DOTA_Tooltip_ability_troll_warlord_rage_lua_description"                                      "当这个能力被激活时，英雄在近战中使用他的投掷斧头。这会减少攻击的基础间隔，增加英雄的移动速度、生命值和护甲。狂暴之怒还会修改旋风斧的属性 。"
"DOTA_Tooltip_ability_troll_warlord_rage_lua_bonus_hp"                                         "额外生命值："
"DOTA_Tooltip_ability_troll_warlord_rage_lua_bonus_move_speed"                                 "奖励移动速度："
"DOTA_Tooltip_ability_troll_warlord_rage_lua_bonus_armor"                                      "额外护甲："
"DOTA_Tooltip_ability_troll_warlord_rage_lua_base_attack_time"                                 "攻击率："
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_ranged_lua"                                  "旋转之斧 (дальний бой)"
"DOTA_Tooltip_ability_troll_warlord_whirling_axes_ranged_lua_description"                      "英雄以扇形方式向 1000 距离投掷五把斧头，对敌人造成减速和伤害。"
